food_id,food,caloric_value,fat,saturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,calcium,iron,nutrition_density,price,CO2_emissions_kg_per_kg,refined_category
524,butternut squash raw,90,0.2,0.044,23.4,4.4,2,4,0,0.067,0.075,0.1,30.078,6,0.43,Dairy Products
525,amaranth leaves,6,0.075,0.072,1.1,0,0.7,0,0,0.071,60.2,0.6,74.73,8,12.9,Processed Foods
526,turnip greens raw,18,0.2,0.009,3.9,0.4,0.8,1.8,0,0.012,104.5,0.6,144.8,41,4.8,Processed Foods
527,spaghetti squash raw,31,0.6,0.1,7,2.8,0.6,1.5,0,0.081,23.2,0.3,35.3,35,11.4,Processed Foods
528,seaweed dry,52,0.3,0.006,9.2,0,3.1,7.3,6.6,0.9,59.8,13.3,98.8,91,14.3,Processed Foods
529,yam cooked,158,0.2,0.061,37.4,0.7,2,5.3,0,0.017,0.083,0.2,45.477,92,17.6,Processed Foods
530,corn dried,119,3,0.6,18.8,6,4.1,5.8,0,0.029,7.1,0.7,39.5,53,15.5,Processed Foods
531,cucumber,23,0.2,0.068,5.4,2.5,1,0.8,0,0.061,24,0.4,36,68,6.7,Processed Foods
532,arrowroot,78,0.2,0.094,16.1,0,5.1,1.6,0,0.052,7.2,2.7,35.2,98,12.6,Processed Foods
533,cardoon raw,30,0.2,0.072,7.2,0,1.2,2.8,0,0.3,0,0.4,12,84,16.3,Processed Foods
534,bamboo shoots cooked,14,0.3,0.007,2.3,0,1.8,1.2,0,0.04,0,0.083,5.76,26,14,Processed Foods
535,summer squash raw,42,0.5,0.1,8.7,5.7,3.1,2.9,0,0.051,0.009,0.1,15.958,69,18.7,Processed Foods
536,sweet potato raw,112,0.002,0.036,26.2,5.4,2,3.9,0,0.079,0.048,0.2,32.696,78,0.46,Vegetables
537,green tomato,42,0.4,0.024,9.3,7.3,2.2,2,0,0.055,23.7,0.9,81.1,72,13,Vegetables
